Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,2292,2063,999,47215.531250,0.021158
2,1000,0.1,0.2,50.0,1000,2285,2054,999,49341.269531,0.020247
3,1000,0.1,0.2,50.0,1000,2278,2053,999,50492.433594,0.019785
4,1000,0.1,0.2,50.0,1000,2235,2015,998,49001.265625,0.020367
5,1000,0.1,0.2,50.0,1000,2191,1973,999,49162.113281,0.020321
6,1000,0.1,0.2,50.0,1000,2252,2039,998,51367.773438,0.019429
7,1000,0.1,0.2,50.0,1000,2295,2045,998,52616.183594,0.018968
8,1000,0.1,0.2,50.0,1000,2265,2045,999,51312.980469,0.019469
9,1000,0.1,0.2,50.0,1000,2340,2073,999,49496.195312,0.020183
10,1000,0.1,0.2,50.0,1000,2241,2007,999,51438.656250,0.019421
