Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,4437,2642,999,51202.437500,0.019511
2,1000,0.4,0.2,50.0,1000,4617,2722,999,50609.343750,0.019739
3,1000,0.4,0.2,50.0,1000,4545,2687,999,48961.761719,0.020404
4,1000,0.4,0.2,50.0,1000,4207,2561,999,48925.066406,0.020419
5,1000,0.4,0.2,50.0,1000,4328,2623,998,50030.269531,0.019948
6,1000,0.4,0.2,50.0,1000,4265,2537,999,50485.332031,0.019788
7,1000,0.4,0.2,50.0,1000,4398,2607,999,51497.953125,0.019399
8,1000,0.4,0.2,50.0,1000,4469,2728,999,51892.453125,0.019251
9,1000,0.4,0.2,50.0,1000,4512,2705,999,48274.683594,0.020694
10,1000,0.4,0.2,50.0,1000,4647,2808,999,51005.000000,0.019586
