Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,4306,2555,999,50208.496094,0.019897
2,1000,0.4,0.2,50.0,1000,4282,2528,999,51214.882812,0.019506
3,1000,0.4,0.2,50.0,1000,4281,2540,999,48351.574219,0.020661
4,1000,0.4,0.2,50.0,1000,3939,2415,999,49935.136719,0.020006
5,1000,0.4,0.2,50.0,1000,4104,2470,999,51040.292969,0.019573
6,1000,0.4,0.2,50.0,1000,4224,2479,999,51732.625000,0.019311
7,1000,0.4,0.2,50.0,1000,4398,2616,999,51073.304688,0.019560
8,1000,0.4,0.2,50.0,1000,4125,2515,999,50371.015625,0.019833
9,1000,0.4,0.2,50.0,1000,4237,2528,999,49455.308594,0.020200
10,1000,0.4,0.2,50.0,1000,4371,2635,998,50484.531250,0.019768
