Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,153227,9132,106,51088.117188,0.002075
2,1000,0.8,0.2,50.0,1000,151792,9086,138,50598.042969,0.002727
3,1000,0.8,0.2,50.0,1000,144433,9012,115,50389.707031,0.002282
4,1000,0.8,0.2,50.0,1000,141305,8571,102,48087.523438,0.002121
5,1000,0.8,0.2,50.0,1000,149639,9015,85,50474.527344,0.001684
6,1000,0.8,0.2,50.0,1000,144195,8902,133,50470.929688,0.002635
7,1000,0.8,0.2,50.0,1000,147387,8899,116,50122.437500,0.002314
8,1000,0.8,0.2,50.0,1000,157971,9565,89,53012.285156,0.001679
9,1000,0.8,0.2,50.0,1000,149187,8941,84,50121.714844,0.001676
10,1000,0.8,0.2,50.0,1000,150949,9083,105,51095.199219,0.002055
