Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2775,2205,999,49064.496094,0.020361
2,1000,0.2,0.2,50.0,1000,2785,2238,999,51743.882812,0.019307
3,1000,0.2,0.2,50.0,1000,2736,2193,999,48649.574219,0.020535
4,1000,0.2,0.2,50.0,1000,2714,2150,999,49828.136719,0.020049
5,1000,0.2,0.2,50.0,1000,2621,2123,999,50017.292969,0.019973
6,1000,0.2,0.2,50.0,1000,23719,6283,403,49072.625000,0.008212
7,1000,0.2,0.2,50.0,1000,2869,2265,998,49208.304688,0.020281
8,1000,0.2,0.2,50.0,1000,2769,2231,999,51297.015625,0.019475
9,1000,0.2,0.2,50.0,1000,2911,2300,999,49213.308594,0.020299
10,1000,0.2,0.2,50.0,1000,2881,2300,999,50559.531250,0.019759
