Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.1,50.0,1000,42,42,22,50007.812500,0.000440
2,1000,0.0,0.1,50.0,1000,133,133,56,49857.242188,0.001123
3,1000,0.0,0.1,50.0,1000,63,63,29,51216.597656,0.000566
4,1000,0.0,0.1,50.0,1000,53,53,26,48888.339844,0.000532
5,1000,0.0,0.1,50.0,1000,65,65,29,49850.500000,0.000582
6,1000,0.0,0.1,50.0,1000,56,56,29,49943.968750,0.000581
7,1000,0.0,0.1,50.0,1000,60,60,26,49481.890625,0.000525
8,1000,0.0,0.1,50.0,1000,57,57,29,49597.128906,0.000585
9,1000,0.0,0.1,50.0,1000,15,15,8,48096.171875,0.000166
10,1000,0.0,0.1,50.0,1000,38,38,20,50248.382812,0.000398
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.1,50.0,1000,1528,1527,999,52198.414062,0.019139
2,1000,0.0,0.1,50.0,1000,1593,1592,999,49514.175781,0.020176
3,1000,0.0,0.1,50.0,1000,1573,1571,997,50179.253906,0.019869
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.1,50.0,1000,1564,1564,984,50640.472656,0.019431
2,1000,0.0,0.1,50.0,1000,1617,1616,976,49433.449219,0.019744
3,1000,0.0,0.1,50.0,1000,1549,1549,994,50468.449219,0.019695
4,1000,0.0,0.1,50.0,1000,1604,1604,979,51532.109375,0.018998
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.1,50.0,1000,1541,1541,999,51596.632812,0.019362
2,1000,0.0,0.1,50.0,1000,30,30,18,49206.628906,0.000366
3,1000,0.0,0.1,50.0,1000,660,660,425,49761.238281,0.008541
4,1000,0.0,0.1,50.0,1000,275,275,174,49262.062500,0.003532
5,1000,0.0,0.1,50.0,1000,1521,1520,999,50524.992188,0.019772
6,1000,0.0,0.1,50.0,1000,1559,1558,999,49061.730469,0.020362
7,1000,0.0,0.1,50.0,1000,1093,1093,716,49386.664062,0.014498
8,1000,0.0,0.1,50.0,1000,1080,1080,724,51067.472656,0.014177
9,1000,0.0,0.1,50.0,1000,714,714,465,50543.355469,0.009200
10,1000,0.0,0.1,50.0,1000,182,182,119,49987.542969,0.002381
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.1,50.0,1000,1541,1541,999,51596.632812,0.019362
2,1000,0.0,0.1,50.0,1000,1535,1534,999,50357.593750,0.019838
3,1000,0.0,0.1,50.0,1000,1543,1542,998,50090.792969,0.019924
4,1000,0.0,0.1,50.0,1000,1545,1544,999,50656.441406,0.019721
5,1000,0.0,0.1,50.0,1000,1521,1520,999,50524.992188,0.019772
6,1000,0.0,0.1,50.0,1000,1559,1558,999,49061.730469,0.020362
7,1000,0.0,0.1,50.0,1000,1513,1512,999,49503.894531,0.020180
8,1000,0.0,0.1,50.0,1000,1499,1498,999,51686.949219,0.019328
9,1000,0.0,0.1,50.0,1000,1543,1542,999,49741.652344,0.020084
10,1000,0.0,0.1,50.0,1000,1588,1587,999,49618.046875,0.020134
